group,GMSS6,GMSS14,GMSS24
0,60,65,77
0,56,60,54
0,35,56,48
0,35,60,51
0,56,71,54
0,45,70,51
0,58,65,61
0,56,80,72
0,39,56,35
0,46,65,44
0,63,51,80
0,58,80,61
0,46,47,54
0,60,47,51
0,53,51,30
0,58,71,54
0,46,60,48
0,53,71,58
0,60,70,58
0,20,37,44
0,26,56,48
0,58,60,61
0,46,60,58
0,54,56,48
0,33,42,39
0,53,56,51
0,60,59,54
0,53,77,61
0,46,70,58
0,65,47,35
0,35,56,48
0,44,46,51
0,45,37,50
0,48,56,44
0,45,56,51
0,53,56,61
1,49,70,54
1,51,51,43
1,51,47,23
1,54,51,26
1,53,60,44
1,48,47,35
1,60,47,44
1,65,51,30
1,60,51,30
1,44,56,30
1,46,56,36
1,37,33,39
